Country,Region,Happiness Rank,Happiness Score,GDP,Social Support,Life Expectancy,Freedom
Switzerland,Western Europe,1,7.587,1.39651,1.34951,0.94143,0.66557
Iceland,Western Europe,2,7.561,1.30232,1.40223,0.94784,0.62877
Denmark,Western Europe,3,7.527,1.32548,1.36058,0.87464,0.64938
Norway,Western Europe,4,7.522,1.459,1.33095,0.88521,0.66973
Canada,North America,5,7.427,1.32629,1.32261,0.90563,0.63297
Finland,Western Europe,6,7.406,1.29025,1.31826,0.88911,0.64169
Netherlands,Western Europe,7,7.378,1.32944,1.28017,0.89284,0.61576
Sweden,Western Europe,8,7.364,1.33171,1.28907,0.91087,0.6598
New Zealand,Australia and New Zealand,9,7.286,1.25018,1.31967,0.90837,0.63938
Australia,Australia and New Zealand,10,7.284,1.33358,1.30923,0.93156,0.65124
Israel,Middle East and Northern Africa,11,7.278,1.22857,1.22393,0.91387,0.41319
Costa Rica,Latin America and Caribbean,12,7.226,0.95578,1.23788,0.86027,0.63376
Austria,Western Europe,13,7.2,1.33723,1.29704,0.89042,0.62433
Mexico,Latin America and Caribbean,14,7.187,1.02054,0.91451,0.81444,0.48181
United States,North America,15,7.119,1.39451,1.24711,0.86179,0.54604
Brazil,Latin America and Caribbean,16,6.983,0.98124,1.23287,0.69702,0.49049
Luxembourg,Western Europe,17,6.946,1.56391,1.21963,0.91894,0.61583
Ireland,Western Europe,18,6.94,1.33596,1.36948,0.89533,0.61777
Belgium,Western Europe,19,6.937,1.30782,1.28566,0.89667,0.5845
United Arab Emirates,Middle East and Northern Africa,20,6.901,1.42727,1.12575,0.80925,0.64157
United Kingdom,Western Europe,21,6.867,1.26637,1.28548,0.90943,0.59625
Oman,Middle East and Northern Africa,22,6.853,1.36011,1.08182,0.76276,0.63274
Venezuela,Latin America and Caribbean,23,6.81,1.04424,1.25596,0.72052,0.42908
Singapore,Southeastern Asia,24,6.798,1.52186,1.02,1.02525,0.54252
Panama,Latin America and Caribbean,25,6.786,1.06353,1.1985,0.79661,0.5421
Germany,Western Europe,26,6.75,1.32792,1.29937,0.89186,0.61477
Chile,Latin America and Caribbean,27,6.67,1.10715,1.12447,0.85857,0.44132
Qatar,Middle East and Northern Africa,28,6.611,1.69042,1.0786,0.79733,0.6404
France,Western Europe,29,6.575,1.27778,1.26038,0.94579,0.55011
Argentina,Latin America and Caribbean,30,6.574,1.05351,1.24823,0.78723,0.44974
Czech Republic,Central and Eastern Europe,31,6.505,1.17898,1.20643,0.84483,0.46364
Uruguay,Latin America and Caribbean,32,6.485,1.06166,1.2089,0.8116,0.60362
Colombia,Latin America and Caribbean,33,6.477,0.91861,1.24018,0.69077,0.53466
Thailand,Southeastern Asia,34,6.455,0.9669,1.26504,0.7385,0.55664
Saudi Arabia,Middle East and Northern Africa,35,6.411,1.39541,1.08393,0.72025,0.31048
Spain,Western Europe,36,6.329,1.23011,1.31379,0.95562,0.45951
Malta,Western Europe,37,6.302,1.2074,1.30203,0.88721,0.60365
Taiwan,Eastern Asia,38,6.298,1.29098,1.07617,0.8753,0.3974
Kuwait,Middle East and Northern Africa,39,6.295,1.55422,1.16594,0.72492,0.55499
Suriname,Latin America and Caribbean,40,6.269,0.99534,0.972,0.6082,0.59657
Trinidad and Tobago,Latin America and Caribbean,41,6.168,1.21183,1.18354,0.61483,0.55884
El Salvador,Latin America and Caribbean,42,6.13,0.76454,1.02507,0.67737,0.4035
Guatemala,Latin America and Caribbean,43,6.123,0.74553,1.04356,0.64425,0.57733
Uzbekistan,Central and Eastern Europe,44,6.003,0.63244,1.34043,0.59772,0.65821
Slovakia,Central and Eastern Europe,45,5.995,1.16891,1.26999,0.78902,0.31751
