Overall rank,Country,Happiness Score,GDP,Social Support,Life Expectancy,Freedom
1,Finland,7.632,1.305,1.592,0.874,0.681
2,Norway,7.594,1.456,1.582,0.861,0.686
3,Denmark,7.555,1.351,1.59,0.868,0.683
4,Iceland,7.495,1.343,1.644,0.914,0.677
5,Switzerland,7.487,1.42,1.549,0.927,0.66
6,Netherlands,7.441,1.361,1.488,0.878,0.638
7,Canada,7.328,1.33,1.532,0.896,0.653
8,New Zealand,7.324,1.268,1.601,0.876,0.669
9,Sweden,7.314,1.355,1.501,0.913,0.659
10,Australia,7.272,1.34,1.573,0.91,0.647
11,United Kingdom,7.19,1.244,1.433,0.888,0.464
12,Austria,7.139,1.341,1.504,0.891,0.617
13,Costa Rica,7.072,1.01,1.459,0.817,0.632
14,Ireland,6.977,1.448,1.583,0.876,0.614
15,Germany,6.965,1.34,1.474,0.861,0.586
16,Belgium,6.927,1.324,1.483,0.894,0.583
17,Luxembourg,6.91,1.576,1.52,0.896,0.632
18,United States,6.886,1.398,1.471,0.819,0.547
19,Israel,6.814,1.301,1.559,0.883,0.533
20,United Arab Emirates,6.774,2.096,0.776,0.67,0.284
21,Czech Republic,6.711,1.233,1.489,0.854,0.543
22,Malta,6.627,1.27,1.525,0.884,0.645
23,France,6.489,1.293,1.466,0.908,0.52
24,Mexico,6.488,1.038,1.252,0.761,0.479
25,Chile,6.476,1.131,1.331,0.808,0.431
26,Taiwan,6.441,1.365,1.436,0.857,0.418
27,Panama,6.43,1.112,1.438,0.759,0.597
28,Brazil,6.419,0.986,1.474,0.675,0.493
29,Argentina,6.388,1.073,1.468,0.744,0.57
30,Guatemala,6.382,0.781,1.268,0.608,0.604
31,Uruguay,6.379,1.093,1.459,0.771,0.625
32,Qatar,6.374,1.649,1.303,0.748,0.654
33,Saudi Arabia,6.371,1.379,1.331,0.633,0.509
34,Singapore,6.343,1.529,1.451,1.008,0.631
35,Malaysia,6.322,1.161,1.258,0.669,0.356
36,Spain,6.31,1.251,1.538,0.965,0.449
37,Colombia,6.26,0.96,1.439,0.635,0.531
38,Trinidad & Tobago,6.192,1.223,1.492,0.564,0.575
39,Slovakia,6.173,1.21,1.537,0.776,0.354
40,El Salvador,6.167,0.806,1.231,0.639,0.461
41,Nicaragua,6.141,0.668,1.319,0.7,0.527
42,Poland,6.123,1.176,1.448,0.781,0.546
43,Bahrain,6.105,1.338,1.366,0.698,0.594
44,Uzbekistan,6.096,0.719,1.584,0.605,0.724
45,Kuwait,6.083,1.474,1.301,0.675,0.554
46,Thailand,6.072,1.016,1.417,0.707,0.637
47,Italy,6,1.264,1.501,0.946,0.281
48,Ecuador,5.973,0.889,1.33,0.736,0.556
49,Belize,5.956,0.807,1.101,0.474,0.593
50,Lithuania,5.952,1.197,1.527,0.716,0.35
51,Slovenia,5.948,1.219,1.506,0.856,0.633
52,Romania,5.945,1.116,1.219,0.726,0.528
53,Latvia,5.933,1.148,1.454,0.671,0.363
54,Japan,5.915,1.294,1.462,0.988,0.553
55,Mauritius,5.891,1.09,1.387,0.684,0.584
56,Jamaica,5.89,0.819,1.493,0.693,0.575
57,South Korea,5.875,1.266,1.204,0.955,0.244
58,Northern Cyprus,5.835,1.229,1.211,0.909,0.495
59,Russia,5.81,1.151,1.479,0.599,0.399
60,Kazakhstan,5.79,1.143,1.516,0.631,0.454
61,Cyprus,5.762,1.229,1.191,0.909,0.423
62,Bolivia,5.752,0.751,1.223,0.508,0.606
63,Estonia,5.739,1.2,1.532,0.737,0.553
64,Paraguay,5.681,0.835,1.522,0.615,0.541
65,Peru,5.663,0.934,1.249,0.674,0.53
66,Kosovo,5.662,0.855,1.23,0.578,0.448
67,Moldova,5.64,0.657,1.301,0.62,0.232
68,Turkmenistan,5.636,1.016,1.533,0.517,0.417
69,Hungary,5.62,1.171,1.401,0.732,0.259
70,Libya,5.566,0.985,1.35,0.553,0.496
71,Philippines,5.524,0.775,1.312,0.513,0.643
72,Honduras,5.504,0.62,1.205,0.622,0.459
73,Belarus,5.483,1.039,1.498,0.7,0.307
74,Turkey,5.483,1.148,1.38,0.686,0.324
75,Pakistan,5.472,0.652,0.81,0.424,0.334
76,Hong Kong,5.43,1.405,1.29,1.03,0.524
77,Portugal,5.41,1.188,1.429,0.884,0.562
78,Serbia,5.398,0.975,1.369,0.685,0.288
79,Greece,5.358,1.154,1.202,0.879,0.131
80,Lebanon,5.358,0.965,1.179,0.785,0.503
81,Montenegro,5.347,1.017,1.279,0.729,0.259
82,Croatia,5.321,1.115,1.161,0.737,0.38
83,Dominican Republic,5.302,0.982,1.441,0.614,0.578
84,Algeria,5.295,0.979,1.154,0.687,0.077
85,Morocco,5.254,0.779,0.797,0.669,0.46
86,China,5.246,0.989,1.142,0.799,0.597
87,Azerbaijan,5.201,1.024,1.161,0.603,0.43
88,Tajikistan,5.199,0.474,1.166,0.598,0.292
89,Macedonia,5.185,0.959,1.239,0.691,0.394
90,Jordan,5.161,0.822,1.265,0.645,0.468
91,Nigeria,5.155,0.689,1.172,0.048,0.462
92,Kyrgyzstan,5.131,0.53,1.416,0.594,0.54
93,Bosnia and Herzegovina,5.129,0.915,1.078,0.758,0.28
94,Mongolia,5.125,0.914,1.517,0.575,0.395
95,Vietnam,5.103,0.715,1.365,0.702,0.618
96,Indonesia,5.093,0.899,1.215,0.522,0.538
97,Bhutan,5.082,0.796,1.335,0.527,0.541
98,Somalia,4.982,0,0.712,0.115,0.674
99,Cameroon,4.975,0.535,0.891,0.182,0.454
100,Bulgaria,4.933,1.054,1.515,0.712,0.359
101,Nepal,4.88,0.425,1.228,0.539,0.526
102,Venezuela,4.806,0.996,1.469,0.657,0.133
103,Gabon,4.758,1.036,1.164,0.404,0.356
104,Palestinian Territories,4.743,0.642,1.217,0.602,0.266
105,South Africa,4.724,0.94,1.41,0.33,0.516
106,Iran,4.707,1.059,0.771,0.691,0.459
107,Ivory Coast,4.671,0.541,0.872,0.08,0.467
108,Ghana,4.657,0.592,0.896,0.337,0.499
109,Senegal,4.631,0.429,1.117,0.433,0.406
110,Laos,4.623,0.72,1.034,0.441,0.626
111,Tunisia,4.592,0.9,0.906,0.69,0.271
112,Albania,4.586,0.916,0.817,0.79,0.419
113,Sierra Leone,4.571,0.256,0.813,0,0.355
114,Congo (Brazzaville),4.559,0.682,0.811,0.343,0.514
115,Bangladesh,4.5,0.532,0.85,0.579,0.58
116,Sri Lanka,4.471,0.918,1.314,0.672,0.585
117,Iraq,4.456,1.01,0.971,0.536,0.304
118,Mali,4.447,0.37,1.233,0.152,0.367
119,Namibia,4.441,0.874,1.281,0.365,0.519
120,Cambodia,4.433,0.549,1.088,0.457,0.696
121,Burkina Faso,4.424,0.314,1.097,0.254,0.312
122,Egypt,4.419,0.885,1.025,0.553,0.312
123,Mozambique,4.417,0.198,0.902,0.173,0.531
124,Kenya,4.41,0.493,1.048,0.454,0.504
125,Zambia,4.377,0.562,1.047,0.295,0.503
126,Mauritania,4.356,0.557,1.245,0.292,0.129
127,Ethiopia,4.35,0.308,0.95,0.391,0.452
128,Georgia,4.34,0.853,0.592,0.643,0.375
129,Armenia,4.321,0.816,0.99,0.666,0.26
130,Myanmar,4.308,0.682,1.174,0.429,0.58
131,Chad,4.301,0.358,0.907,0.053,0.189
132,Congo (Kinshasa),4.245,0.069,1.136,0.204,0.312
133,India,4.19,0.721,0.747,0.485,0.539
134,Niger,4.166,0.131,0.867,0.221,0.39
135,Uganda,4.161,0.322,1.09,0.237,0.45
