Country name,Regional indicator,Happiness Score,GDP,Social Support,Life Expectancy,Freedom
Finland,Western Europe,7.842,1.446,1.106,0.741,0.691
Denmark,Western Europe,7.62,1.502,1.108,0.763,0.686
Switzerland,Western Europe,7.571,1.566,1.079,0.816,0.653
Iceland,Western Europe,7.554,1.482,1.172,0.772,0.698
Netherlands,Western Europe,7.464,1.501,1.079,0.753,0.647
Norway,Western Europe,7.392,1.543,1.108,0.782,0.703
Sweden,Western Europe,7.363,1.478,1.062,0.763,0.685
Luxembourg,Western Europe,7.324,1.751,1.003,0.76,0.639
New Zealand,North America and ANZ,7.277,1.4,1.094,0.785,0.665
Austria,Western Europe,7.268,1.492,1.062,0.782,0.64
Australia,North America and ANZ,7.183,1.453,1.076,0.801,0.647
Israel,Middle East and North Africa,7.157,1.376,1.074,0.788,0.509
Germany,Western Europe,7.155,1.48,0.993,0.757,0.6
Canada,North America and ANZ,7.103,1.447,1.044,0.798,0.648
Ireland,Western Europe,7.085,1.644,1.092,0.753,0.606
Costa Rica,Latin America and Caribbean,7.069,1.134,0.966,0.722,0.673
United Kingdom,Western Europe,7.064,1.423,1.062,0.757,0.58
Czech Republic,Central and Eastern Europe,6.965,1.37,1.09,0.703,0.58
United States,North America and ANZ,6.951,1.533,1.03,0.621,0.554
Belgium,Western Europe,6.834,1.463,0.998,0.747,0.489
France,Western Europe,6.69,1.421,1.081,0.804,0.536
Bahrain,Middle East and North Africa,6.647,1.409,0.899,0.662,0.661
Malta,Western Europe,6.602,1.411,1.055,0.747,0.664
Taiwan Province of China,East Asia,6.584,1.48,0.982,0.665,0.49
United Arab Emirates,Middle East and North Africa,6.561,1.555,0.86,0.594,0.67
Saudi Arabia,Middle East and North Africa,6.494,1.435,0.964,0.571,0.603
Spain,Western Europe,6.491,1.375,1.057,0.826,0.462
Italy,Western Europe,6.483,1.393,0.94,0.798,0.379
Slovenia,Central and Eastern Europe,6.461,1.36,1.093,0.722,0.69
Guatemala,Latin America and Caribbean,6.435,0.845,0.79,0.519,0.638
Uruguay,Latin America and Caribbean,6.431,1.164,1.042,0.649,0.625
Singapore,Southeast Asia,6.377,1.695,1.019,0.897,0.664
Kosovo,Central and Eastern Europe,6.372,0.937,0.807,0.483,0.593
Slovakia,Central and Eastern Europe,6.331,1.304,1.066,0.653,0.468
Brazil,Latin America and Caribbean,6.33,1.028,0.944,0.571,0.514
Mexico,Latin America and Caribbean,6.317,1.126,0.83,0.634,0.585
Jamaica,Latin America and Caribbean,6.309,0.891,0.932,0.599,0.618
Lithuania,Central and Eastern Europe,6.255,1.35,1.065,0.612,0.476
Cyprus,Western Europe,6.223,1.377,0.765,0.801,0.464
Estonia,Central and Eastern Europe,6.189,1.344,1.079,0.64,0.641
Panama,Latin America and Caribbean,6.18,1.298,0.976,0.667,0.596
Uzbekistan,Commonwealth of Independent States,6.179,0.769,1.027,0.528,0.716
Chile,Latin America and Caribbean,6.172,1.2,0.946,0.678,0.438
Poland,Central and Eastern Europe,6.166,1.309,0.982,0.668,0.558
