Country,Region,HappinessScore,happiness score,GDP,gdp,Social Support,social support,Life Expectancy,life expectancy,Freedom,freedom 
Finland,Western Europe,78.21,7.821,18.92,1.892,12.58,1.258,77.5,0.775,73.6,0.736
Denmark,Western Europe,76.36,7.636,19.53,1.953,12.43,1.243,77.7,0.777,71.9,0.719
Iceland,Western Europe,75.57,7.557,19.36,1.936,13.2,1.32,80.3,0.803,71.8,0.718
Switzerland,Western Europe,75.12,7.512,20.26,2.026,12.26,1.226,82.2,0.822,67.7,0.677
Netherlands,Western Europe,74.15,7.415,19.45,1.945,12.06,1.206,78.7,0.787,65.1,0.651
Luxembourg,Western Europe,74.04,7.404,22.09,2.209,11.55,1.155,79,0.79,70,0.7
Sweden,Western Europe,73.84,7.384,19.2,1.92,12.04,1.204,80.3,0.803,72.4,0.724
Norway,Western Europe,73.65,7.365,19.97,1.997,12.39,1.239,78.6,0.786,72.8,0.728
Israel,Middle East and North Africa,73.64,7.364,18.26,1.826,12.21,1.221,81.8,0.818,56.8,0.568
New Zealand,North America and ANZ,72,7.2,18.52,1.852,12.35,1.235,75.2,0.752,68,0.68
Austria,Western Europe,71.63,7.163,19.31,1.931,11.65,1.165,77.4,0.774,62.3,0.623
Australia,North America and ANZ,71.62,7.162,19,1.9,12.03,1.203,77.2,0.772,67.6,0.676
Ireland,Western Europe,70.41,7.041,21.29,2.129,11.66,1.166,77.9,0.779,62.7,0.627
Germany,Western Europe,70.34,7.034,19.24,1.924,10.88,1.088,77.6,0.776,58.5,0.585
Canada,North America and ANZ,70.25,7.025,18.86,1.886,11.88,1.188,78.3,0.783,65.9,0.659
United States of America,North America and ANZ,69.77,6.977,19.82,1.982,11.82,1.182,62.8,0.628,57.4,0.574
United Kingdom,Western Europe,69.43,6.943,18.67,1.867,11.43,1.143,75,0.75,59.7,0.597
Czechia,Central and Eastern Europe,69.2,6.92,18.15,1.815,12.6,1.26,71.5,0.715,66,0.66
Belgium,Western Europe,68.05,6.805,19.07,1.907,11.06,1.106,76.4,0.764,49.2,0.492
France,Western Europe,66.87,6.687,18.63,1.863,12.19,1.219,80.8,0.808,56.7,0.567
Bahrain,Middle East and North Africa,66.47,6.647,18.54,1.854,10.29,1.029,62.5,0.625,69.3,0.693
Slovenia,Central and Eastern Europe,66.3,6.63,18.1,1.81,12.49,1.249,76.9,0.769,68.5,0.685
Costa Rica,Latin America and Caribbean,65.82,6.582,15.84,1.584,10.54,1.054,74.4,0.744,66.1,0.661
United Arab Emirates,Middle East and North Africa,65.76,6.576,19.98,1.998,9.8,0.98,63.3,0.633,70.2,0.702
Saudi Arabia,Middle East and North Africa,65.23,6.523,18.7,1.87,10.92,1.092,57.7,0.577,65.1,0.651
Taiwan Province of China,East Asia,65.12,6.512,18.97,1.897,10.95,1.095,73.3,0.733,54.2,0.542
Singapore,Southeast Asia,64.8,6.48,21.49,2.149,11.27,1.127,85.1,0.851,67.2,0.672
Romania,Central and Eastern Europe,64.77,6.477,17.19,1.719,10.06,1.006,65.5,0.655,60.5,0.605
Spain,Western Europe,64.76,6.476,18.08,1.808,12.11,1.211,80.8,0.808,50.5,0.505
Uruguay,Latin America and Caribbean,64.74,6.474,16.15,1.615,11.8,1.18,67.2,0.672,66.5,0.665
Italy,Western Europe,64.67,6.467,18.34,1.834,10.52,1.052,80.1,0.801,41.2,0.412
Kosovo,Central and Eastern Europe,64.55,6.455,13.62,1.362,9.49,0.949,56.9,0.569,59.9,0.599
Malta,Western Europe,64.47,6.447,18.38,1.838,11.69,1.169,78.9,0.789,67.9,0.679
Lithuania,Central and Eastern Europe,64.46,6.446,18.04,1.804,12.04,1.204,65.9,0.659,49.6,0.496
Slovakia,Central and Eastern Europe,63.91,6.391,17.36,1.736,12.32,1.232,70.7,0.707,47.9,0.479
Estonia,Central and Eastern Europe,63.41,6.341,17.93,1.793,12.32,1.232,72.8,0.728,68.9,0.689
Panama,Latin America and Caribbean,63.09,6.309,17.15,1.715,11.07,1.107,70.9,0.709,59.2,0.592
Brazil,Latin America and Caribbean,62.93,6.293,14.62,1.462,10.44,1.044,61.5,0.615,54.6,0.546
Guatemala,Latin America and Caribbean,62.62,6.262,12.74,1.274,8.31,0.831,52.2,0.522,66.2,0.662
Kazakhstan,Commonwealth of Independent States,62.34,6.234,16.68,1.668,12.2,1.22,61.1,0.611,58.4,0.584
Cyprus,Western Europe,62.21,6.221,18.15,1.815,9.09,0.909,81.9,0.819,44.8,0.448
Latvia,Central and Eastern Europe,61.8,6.18,17.32,1.732,12.21,1.221,63.7,0.637,50.2,0.502
Serbia,Central and Eastern Europe,61.78,6.178,15.5,1.55,10.86,1.086,65.8,0.658,54.6,0.546
Chile,Latin America and Caribbean,61.72,6.172,16.51,1.651,10.8,1.08,74.8,0.748,46,0.46
Nicaragua,Latin America and Caribbean,61.65,6.165,11.05,1.105,10.29,1.029,61.7,0.617,61.7,0.617
Mexico,Latin America and Caribbean,61.28,6.128,15.52,1.552,8.86,0.886,62.3,0.623,62.1,0.621
Croatia,Central and Eastern Europe,61.25,6.125,17.05,1.705,11.83,1.183,70.9,0.709,53.5,0.535
Poland,Central and Eastern Europe,61.23,6.123,17.58,1.758,11.74,1.174,71.2,0.712,52.3,0.523
El Salvador,Latin America and Caribbean,61.2,6.12,12.65,1.265,7.68,0.768,60.7,0.607,66.6,0.666
Kuwait,Middle East and North Africa,61.06,6.106,19.04,1.904,9.83,0.983,74.7,0.747,61.7,0.617
Hungary,Central and Eastern Europe,60.86,6.086,17.48,1.748,12.33,1.233,66.8,0.668,48.5,0.485
Mauritius,Sub-Saharan Africa,60.71,6.071,15.91,1.591,11.16,1.116,56.8,0.568,58.9,0.589
Uzbekistan,Commonwealth of Independent States,60.63,6.063,12.19,1.219,10.92,1.092,60,0.6,71.6,0.716
Japan,East Asia,60.39,6.039,18.35,1.835,10.89,1.089,86.6,0.866,53.7,0.537
Honduras,Latin America and Caribbean,60.22,6.022,11.11,1.111,8.85,0.885,55.5,0.555,58.2,0.582
Portugal,Western Europe,60.16,6.016,17.6,1.76,10.78,1.078,77.7,0.777,65.5,0.655
Argentina,Latin America and Caribbean,59.67,5.967,15.92,1.592,11.02,1.102,66.2,0.662,55.5,0.555
Greece,Western Europe,59.48,5.948,17.03,1.703,9.8,0.98,77.4,0.774,24.9,0.249
South Korea,East Asia,59.35,5.935,18.51,1.851,8.86,0.886,84.1,0.841,41.4,0.414
Philippines,Southeast Asia,59.04,5.904,12.68,1.268,9.12,0.912,51.4,0.514,67.8,0.678
Thailand,Southeast Asia,58.91,5.891,15.35,1.535,10.96,1.096,69.7,0.697,61.7,0.617
Moldova,Commonwealth of Independent States,58.57,5.857,14.17,1.417,10.08,1.008,59.7,0.597,56.1,0.561
Jamaica,Latin America and Caribbean,58.5,5.85,12.96,1.296,10.45,1.045,64.6,0.646,56.7,0.567
Kyrgyzstan,Commonwealth of Independent States,58.28,5.828,10.69,1.069,11.09,1.109,63.8,0.638,69.3,0.693
Belarus,Commonwealth of Independent States,58.21,5.821,15.62,1.562,11.57,1.157,62.9,0.629,34.2,0.342
Colombia,Latin America and Caribbean,57.81,5.781,14.52,1.452,9.29,0.929,72,0.72,54.5,0.545
Bosnia and Herzegovina,Central and Eastern Europe,57.68,5.768,14.68,1.468,10.68,1.068,66.5,0.665,44.8,0.448
Mongolia,East Asia,57.61,5.761,13.93,1.393,11.97,1.197,46.7,0.467,39.8,0.398
Dominican Republic,Latin America and Caribbean,57.37,5.737,15.38,1.538,10.03,1.003,57.7,0.577,60.6,0.606
Malaysia,Southeast Asia,57.11,5.711,16.89,1.689,9.38,0.938,62,0.62,65.4,0.654
Bolivia,Latin America and Caribbean,56,5.6,12.56,1.256,8.8,0.88,55.5,0.555,62.7,0.627
China,East Asia,55.85,5.585,15.08,1.508,9.58,0.958,70.5,0.705,65.6,0.656
Paraguay,Latin America and Caribbean,55.78,5.578,14.09,1.409,11.3,1.13,62.4,0.624,62.9,0.629
Peru,Latin America and Caribbean,55.59,5.559,13.97,1.397,8.65,0.865,73.5,0.735,54.5,0.545
Montenegro,Central and Eastern Europe,55.47,5.547,15.73,1.573,10.23,1.023,65.9,0.659,46,0.46
Ecuador,Latin America and Caribbean,55.33,5.533,13.52,1.352,8.79,0.879,70.8,0.708,56.5,0.565
Vietnam,Southeast Asia,54.85,5.485,12.52,1.252,9.32,0.932,61.1,0.611,70.7,0.707
Turkmenistan,Commonwealth of Independent States,54.74,5.474,14.84,1.484,13.19,1.319,51.6,0.516,64.9,0.649
North Cyprus,Western Europe,54.67,5.467,18.15,1.815,8.88,0.888,81.9,0.819,52.3,0.523
Russia,Commonwealth of Independent States,54.59,5.459,16.85,1.685,10.95,1.095,58.6,0.586,40.1,0.401
Hong Kong S.A.R. of China,East Asia,54.25,5.425,19.57,1.957,9.54,0.954,94.2,0.942,40,0.4
Armenia,Commonwealth of Independent States,53.99,5.399,14.34,1.434,8.2,0.82,66.8,0.668,55.8,0.558
Tajikistan,Commonwealth of Independent States,53.77,5.377,9.66,0.966,10.05,1.005,51.8,0.518,57.2,0.572
Nepal,South Asia,53.77,5.377,9.84,0.984,7.84,0.784,49.9,0.499,51.9,0.519
Bulgaria,Central and Eastern Europe,53.71,5.371,16.25,1.625,11.63,1.163,64,0.64,56.3,0.563
Libya,Middle East and North Africa,53.3,5.33,14.76,1.476,9.43,0.943,60.6,0.606,47.7,0.477
Indonesia,Southeast Asia,52.4,5.24,13.82,1.382,8.83,0.883,53.9,0.539,62,0.62
Ivory Coast,Sub-Saharan Africa,52.35,5.235,10.94,1.094,4.42,0.442,32.2,0.322,45.1,0.451
North Macedonia,Central and Eastern Europe,51.99,5.199,15.05,1.505,8.63,0.863,63.7,0.637,48.8,0.488
Albania,Central and Eastern Europe,51.99,5.199,14.39,1.439,6.46,0.646,71.9,0.719,51.1,0.511
South Africa,Sub-Saharan Africa,51.94,5.194,14.25,1.425,10.88,1.088,36.1,0.361,44.2,0.442
Azerbaijan,Commonwealth of Independent States,51.73,5.173,14.58,1.458,10.93,1.093,56,0.56,60.1,0.601
Gambia,Sub-Saharan Africa,51.64,5.164,7.85,0.785,6.21,0.621,36.9,0.369,36.7,0.367
Bangladesh,South Asia,51.55,5.155,10.6,1.06,6.14,0.614,58.1,0.581,62.2,0.622
Laos,Southeast Asia,51.4,5.14,12.39,1.239,6.54,0.654,47.9,0.479,67.9,0.679
Algeria,Middle East and North Africa,51.22,5.122,13.63,1.363,9.7,0.97,64.3,0.643,14.6,0.146
Liberia,Sub-Saharan Africa,51.22,5.122,6.36,0.636,6.7,0.67,30.9,0.309,40.5,0.405
Ukraine,Commonwealth of Independent States,50.84,5.084,14.11,1.411,10.81,1.081,58.3,0.583,47.3,0.473
Dem. Rep. Congo,Sub-Saharan Africa,50.75,5.075,9.5,0.95,4.05,0.405,35.5,0.355,43.1,0.431
Morocco,Middle East and North Africa,50.6,5.06,12.08,1.208,2.68,0.268,56.5,0.565,49.2,0.492
Mozambique,Sub-Saharan Africa,50.48,5.048,5.78,0.578,6.6,0.66,19.1,0.191,59.3,0.593
Cameroon,Sub-Saharan Africa,50.48,5.048,9.68,0.968,6.72,0.672,31.7,0.317,39.7,0.397
Senegal,Sub-Saharan Africa,50.46,5.046,9.33,0.933,5.3,0.53,44.7,0.447,49.4,0.494
Niger,Sub-Saharan Africa,50.03,5.003,5.7,0.57,5.6,0.56,32.6,0.326,57.1,0.571
Georgia,Commonwealth of Independent States,49.73,4.973,14.67,1.467,6.12,0.612,59.5,0.595,50.8,0.508
