RANK,Country,Region,Happiness Score,GDP,Social Support,Life Expectancy,Freedom 
1,Finland,Western Europe,7821,1.892,1.258,0.775,0.736
2,Denmark,Western Europe,7636,1.953,1.243,0.777,0.719
3,Iceland,Western Europe,7557,1.936,1.32,0.803,0.718
4,Switzerland,Western Europe,7521,2.026,1.226,0.822,0.677
5,Netherlands,Western Europe,7414,1.945,1.206,0.787,0.651
6,Luxembourg*,Western Europe,7404,2.209,1.155,0.79,0.7
7,Sweden,Western Europe,7384,1.92,1.204,0.803,0.724
8,Norway,Western Europe,7365,1.997,1.239,0.786,0.728
9,Israel,Middle East and North Africa,7364,1.826,1.221,0.818,0.568
10,New Zealand,North America and ANZ,72,1.852,1.235,0.752,0.68
11,Austria,Western Europe,7163,1.931,1.165,0.774,0.623
12,Australia,North America and ANZ,7162,1.9,1.203,0.772,0.676
13,Ireland,Western Europe,7041,2.129,1.166,0.779,0.627
14,Germany,Western Europe,7034,1.924,1.088,0.776,0.585
15,Canada,North America and ANZ,7025,1.886,1.188,0.783,0.659
16,United States,North America and ANZ,6977,1.982,1.182,0.628,0.574
17,United Kingdom,Western Europe,6943,1.867,1.143,0.75,0.597
18,Czechia,Central and Eastern Europe,6920,1.815,1.26,0.715,0.66
19,Belgium,Western Europe,6805,1.907,1.106,0.764,0.492
20,France,Western Europe,6687,1.863,1.219,0.808,0.567
21,Bahrain,Middle East and North Africa,6647,1.854,1.029,0.625,0.693
22,Slovenia,Central and Eastern Europe,6630,1.81,1.249,0.769,0.685
